,group_of_words,dates,frequencies
309,"('covid', 'neg', 'test')","[datetime.date(2020, 8, 9)]",[0.015333333333333332]
310,"('covid', 'home', 'minist')","[datetime.date(2020, 8, 9)]",[0.015066666666666667]
311,"('covid', 'home', 'test')","[datetime.date(2020, 8, 9)]",[0.015866666666666668]
312,"('covid', 'minist', 'test')","[datetime.date(2020, 8, 9)]",[0.017333333333333333]
313,"('home', 'minist', 'test')","[datetime.date(2020, 8, 9)]",[0.015333333333333332]
314,"('children', 'covid')","[datetime.date(2020, 8, 10)]",[0.015129830300552035]
315,"('announc',)","[datetime.date(2020, 8, 11)]",[0.021066666666666668]
316,"('russia',)","[datetime.date(2020, 8, 11), datetime.date(2020, 8, 12)]","[0.0692, 0.0176]"
317,"('putin',)","[datetime.date(2020, 8, 11)]",[0.04786666666666667]
318,"('russian',)","[datetime.date(2020, 8, 11)]",[0.017333333333333333]
319,"('vladimir',)","[datetime.date(2020, 8, 11)]",[0.016266666666666665]
320,"('presid',)","[datetime.date(2020, 8, 11)]",[0.0276]
321,"('approv',)","[datetime.date(2020, 8, 11)]",[0.019333333333333334]
322,"('develop',)","[datetime.date(2020, 8, 11)]",[0.02266666666666667]
323,"('uk',)","[datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13)]","[0.017333333333333333, 0.0324, 0.020266666666666665]"
324,"('pm',)","[datetime.date(2020, 8, 11)]",[0.0168]
325,"('daughter',)","[datetime.date(2020, 8, 11)]",[0.0204]
326,"('regist',)","[datetime.date(2020, 8, 11)]",[0.024266666666666666]
327,"('covid', 'russia')","[datetime.date(2020, 8, 11)]",[0.056]
328,"('first', 'russia')","[datetime.date(2020, 8, 11)]",[0.0436]
329,"('first', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.0468]
330,"('russia', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.06013333333333333]
331,"('covid', 'presid')","[datetime.date(2020, 8, 11)]",[0.0172]
332,"('covid', 'putin')","[datetime.date(2020, 8, 11)]",[0.0388]
333,"('presid', 'putin')","[datetime.date(2020, 8, 11)]",[0.0184]
334,"('putin', 'vladimir')","[datetime.date(2020, 8, 11)]",[0.015466666666666667]
335,"('approv', 'covid')","[datetime.date(2020, 8, 11)]",[0.0164]
336,"('approv', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.0164]
337,"('break', 'covid')","[datetime.date(2020, 8, 11)]",[0.0156]
338,"('presid', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.019866666666666668]
339,"('putin', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.04253333333333333]
340,"('covid', 'lockdown')","[datetime.date(2020, 8, 11)]",[0.016]
341,"('approv', 'russia')","[datetime.date(2020, 8, 11)]",[0.016533333333333334]
342,"('coronaviru', 'russia')","[datetime.date(2020, 8, 11)]",[0.015333333333333332]
343,"('coronaviru', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.018266666666666667]
344,"('covid', 'daughter')","[datetime.date(2020, 8, 11)]",[0.015733333333333332]
345,"('daughter', 'putin')","[datetime.date(2020, 8, 11)]",[0.017866666666666666]
346,"('daughter', 'russia')","[datetime.date(2020, 8, 11)]",[0.0168]
347,"('daughter', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.0192]
348,"('first', 'putin')","[datetime.date(2020, 8, 11)]",[0.03186666666666667]
349,"('putin', 'russia')","[datetime.date(2020, 8, 11)]",[0.03746666666666667]
350,"('first', 'world')","[datetime.date(2020, 8, 11)]",[0.020933333333333335]
351,"('vaccin', 'world')","[datetime.date(2020, 8, 11)]",[0.022]
352,"('first', 'presid')","[datetime.date(2020, 8, 11)]",[0.016133333333333333]
353,"('presid', 'russia')","[datetime.date(2020, 8, 11)]",[0.017066666666666667]
354,"('russia', 'world')","[datetime.date(2020, 8, 11)]",[0.0204]
355,"('first', 'say')","[datetime.date(2020, 8, 11)]",[0.016933333333333335]
356,"('putin', 'say')","[datetime.date(2020, 8, 11)]",[0.018]
357,"('russia', 'say')","[datetime.date(2020, 8, 11)]",[0.019733333333333332]
358,"('say', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.021866666666666666]
359,"('covid', 'regist')","[datetime.date(2020, 8, 11)]",[0.020533333333333334]
360,"('regist', 'russia')","[datetime.date(2020, 8, 11)]",[0.016666666666666666]
361,"('regist', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.0188]
362,"('covid', 'first', 'russia')","[datetime.date(2020, 8, 11)]",[0.037066666666666664]
363,"('covid', 'first', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.0412]
364,"('covid', 'russia', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.051333333333333335]
365,"('first', 'russia', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.04053333333333333]
366,"('approv', 'covid', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.015333333333333332]
367,"('covid', 'presid', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.015466666666666667]
368,"('covid', 'putin', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.03613333333333334]
369,"('presid', 'putin', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.016133333333333333]
370,"('approv', 'russia', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.0152]
371,"('covid', 'daughter', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.0156]
372,"('covid', 'first', 'putin')","[datetime.date(2020, 8, 11)]",[0.026533333333333332]
373,"('covid', 'putin', 'russia')","[datetime.date(2020, 8, 11)]",[0.030666666666666665]
374,"('daughter', 'putin', 'russia')","[datetime.date(2020, 8, 11)]",[0.015333333333333332]
375,"('daughter', 'putin', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.017333333333333333]
376,"('daughter', 'russia', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.0164]
377,"('first', 'putin', 'russia')","[datetime.date(2020, 8, 11)]",[0.0272]
378,"('first', 'putin', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.0296]
379,"('putin', 'russia', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.034133333333333335]
380,"('covid', 'first', 'world')","[datetime.date(2020, 8, 11)]",[0.0172]
381,"('covid', 'vaccin', 'world')","[datetime.date(2020, 8, 11)]",[0.0188]
382,"('first', 'vaccin', 'world')","[datetime.date(2020, 8, 11)]",[0.019066666666666666]
383,"('first', 'russia', 'world')","[datetime.date(2020, 8, 11)]",[0.0184]
384,"('russia', 'vaccin', 'world')","[datetime.date(2020, 8, 11)]",[0.018]
385,"('covid', 'russia', 'world')","[datetime.date(2020, 8, 11)]",[0.016933333333333335]
386,"('covid', 'first', 'say')","[datetime.date(2020, 8, 11)]",[0.0156]
387,"('covid', 'putin', 'say')","[datetime.date(2020, 8, 11)]",[0.0156]
388,"('covid', 'russia', 'say')","[datetime.date(2020, 8, 11)]",[0.017466666666666665]
389,"('covid', 'say', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.0192]
390,"('first', 'russia', 'say')","[datetime.date(2020, 8, 11)]",[0.016133333333333333]
391,"('first', 'say', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.016133333333333333]
392,"('putin', 'russia', 'say')","[datetime.date(2020, 8, 11)]",[0.016666666666666666]
393,"('putin', 'say', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.0176]
394,"('russia', 'say', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.0192]
395,"('covid', 'regist', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.016133333333333333]
396,"('regist', 'russia', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.016133333333333333]
397,"('covid', 'first', 'russia', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.03613333333333334]
398,"('covid', 'first', 'putin', 'russia')","[datetime.date(2020, 8, 11)]",[0.0228]
399,"('covid', 'first', 'putin', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.025866666666666666]
400,"('covid', 'putin', 'russia', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.029333333333333333]
401,"('first', 'putin', 'russia', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.025333333333333333]
402,"('covid', 'first', 'vaccin', 'world')","[datetime.date(2020, 8, 11)]",[0.016533333333333334]
403,"('first', 'russia', 'vaccin', 'world')","[datetime.date(2020, 8, 11)]",[0.016666666666666666]
404,"('covid', 'first', 'russia', 'world')","[datetime.date(2020, 8, 11)]",[0.015466666666666667]
405,"('covid', 'russia', 'vaccin', 'world')","[datetime.date(2020, 8, 11)]",[0.016]
406,"('covid', 'first', 'russia', 'say')","[datetime.date(2020, 8, 11)]",[0.015066666666666667]
407,"('covid', 'first', 'say', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.015333333333333332]
408,"('covid', 'putin', 'say', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.015466666666666667]
409,"('covid', 'russia', 'say', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.0172]
410,"('first', 'russia', 'say', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.0156]
411,"('putin', 'russia', 'say', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.016266666666666665]
412,"('covid', 'first', 'putin', 'russia', 'vaccin')","[datetime.date(2020, 8, 11)]",[0.0224]
413,"('youth',)","[datetime.date(2020, 8, 12)]",[0.020133333333333333]
414,"('recess',)","[datetime.date(2020, 8, 12)]",[0.021066666666666668]
415,"('young',)","[datetime.date(2020, 8, 12)]",[0.018]
416,"('staff',)","[datetime.date(2020, 8, 12)]",[0.02]
417,"('economi',)","[datetime.date(2020, 8, 12)]",[0.0168]
418,"('situat',)","[datetime.date(2020, 8, 12)]",[0.020666666666666667]
419,"('bsnl',)","[datetime.date(2020, 8, 12)]",[0.0152]
420,"('terribl',)","[datetime.date(2020, 8, 12)]",[0.015733333333333332]
421,"('covid', 'even')","[datetime.date(2020, 8, 12)]",[0.023466666666666667]
422,"('covid', 'uk')","[datetime.date(2020, 8, 12)]",[0.019866666666666668]
423,"('covid', 'staff')","[datetime.date(2020, 8, 12)]",[0.016933333333333335]
424,"('covid', 'situat')","[datetime.date(2020, 8, 12)]",[0.0188]
425,"('covid', 'terribl')","[datetime.date(2020, 8, 12)]",[0.015333333333333332]
426,"('even', 'situat')","[datetime.date(2020, 8, 12)]",[0.015066666666666667]
427,"('import',)","[datetime.date(2020, 8, 13)]",[0.015066666666666667]
428,"('conduct',)","[datetime.date(2020, 8, 13)]",[0.016533333333333334]
429,"('conduct', 'covid')","[datetime.date(2020, 8, 13)]",[0.015333333333333332]
430,"('close', 'covid')","[datetime.date(2020, 8, 13)]",[0.0168]
431,"('covid', 'onlin')","[datetime.date(2020, 8, 13)]",[0.015333333333333332]
432,"('person',)","[datetime.date(2020, 8, 14), datetime.date(2020, 8, 29)]","[0.02493333333333333, 0.031150355653666913]"
433,"('g',)","[datetime.date(2020, 8, 14), datetime.date(2020, 8, 29)]","[0.017733333333333334, 0.020603384841795438]"
434,"('count',)","[datetime.date(2020, 8, 14), datetime.date(2020, 8, 29)]","[0.0188, 0.024773117488349275]"
435,"('abl',)","[datetime.date(2020, 8, 14), datetime.date(2020, 8, 29)]","[0.017333333333333333, 0.0235467255334805]"
436,"('earlyvot',)","[datetime.date(2020, 8, 14), datetime.date(2020, 8, 29)]","[0.015866666666666668, 0.021829776796664212]"
437,"('amp', 'get')","[datetime.date(2020, 8, 14), datetime.date(2020, 8, 29)]","[0.0168, 0.021584498405690457]"
438,"('amp', 'earlyvot')","[datetime.date(2020, 8, 14), datetime.date(2020, 8, 29)]","[0.015066666666666667, 0.021584498405690457]"
439,"('earlyvot', 'person')","[datetime.date(2020, 8, 14), datetime.date(2020, 8, 29)]","[0.015066666666666667, 0.020603384841795438]"
440,"('robert',)","[datetime.date(2020, 8, 16)]",[0.0156]
441,"('brother',)","[datetime.date(2020, 8, 16)]",[0.027733333333333332]
442,"('brother', 'covid')","[datetime.date(2020, 8, 16)]",[0.0156]
443,"('death', 'india')","[datetime.date(2020, 8, 17)]",[0.0192]
444,"('covid', 'death', 'report')","[datetime.date(2020, 8, 17)]",[0.0156]
445,"('covid', 'death', 'india')","[datetime.date(2020, 8, 17)]",[0.0168]
446,"('covid', 'risk')","[datetime.date(2020, 8, 22)]",[0.01566421462570316]
447,"('covid', 'daili')","[datetime.date(2020, 8, 22)]",[0.01549112938122025]
448,"('protest',)","[datetime.date(2020, 8, 29)]",[0.0164336521952416]
449,"('bring',)","[datetime.date(2020, 8, 29)]",[0.01545253863134658]
450,"('earli',)","[datetime.date(2020, 8, 29)]",[0.016188373804267846]
451,"('eod',)","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
452,"('nov',)","[datetime.date(2020, 8, 29)]",[0.021829776796664212]
453,"('will',)","[datetime.date(2020, 8, 29)]",[0.021584498405690457]
454,"('amp', 'person')","[datetime.date(2020, 8, 29)]",[0.021339220014716703]
455,"('confirm', 'death')","[datetime.date(2020, 8, 29)]",[0.017169487368162865]
456,"('confirm', 'new')","[datetime.date(2020, 8, 29)]",[0.016188373804267846]
457,"('confirm', 'total')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
458,"('coronaviru', 'death')","[datetime.date(2020, 8, 29)]",[0.015697817022320332]
459,"('abl', 'amp')","[datetime.date(2020, 8, 29)]",[0.020603384841795438]
460,"('abl', 'count')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
461,"('abl', 'earlyvot')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
462,"('abl', 'eod')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
463,"('abl', 'g')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
464,"('abl', 'get')","[datetime.date(2020, 8, 29)]",[0.020603384841795438]
465,"('abl', 'nov')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
466,"('abl', 'person')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
467,"('abl', 'will')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
468,"('amp', 'count')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
469,"('amp', 'eod')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
470,"('amp', 'g')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
471,"('amp', 'nov')","[datetime.date(2020, 8, 29)]",[0.021093941623742948]
472,"('amp', 'will')","[datetime.date(2020, 8, 29)]",[0.020603384841795438]
473,"('count', 'earlyvot')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
474,"('count', 'eod')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
475,"('count', 'g')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
476,"('count', 'get')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
477,"('count', 'nov')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
478,"('count', 'person')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
479,"('count', 'will')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
480,"('earlyvot', 'eod')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
481,"('earlyvot', 'g')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
482,"('earlyvot', 'get')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
483,"('earlyvot', 'nov')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
484,"('earlyvot', 'will')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
485,"('eod', 'g')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
486,"('eod', 'get')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
487,"('eod', 'nov')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
488,"('eod', 'person')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
489,"('eod', 'will')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
490,"('g', 'get')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
491,"('g', 'nov')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
492,"('g', 'person')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
493,"('g', 'will')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
494,"('get', 'nov')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
495,"('get', 'person')","[datetime.date(2020, 8, 29)]",[0.021339220014716703]
496,"('get', 'will')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
497,"('nov', 'person')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
498,"('nov', 'will')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
499,"('person', 'will')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
500,"('case', 'confirm', 'death')","[datetime.date(2020, 8, 29)]",[0.016188373804267846]
501,"('case', 'confirm', 'new')","[datetime.date(2020, 8, 29)]",[0.015943095413294087]
502,"('case', 'confirm', 'total')","[datetime.date(2020, 8, 29)]",[0.018150600932057885]
503,"('case', 'death', 'report')","[datetime.date(2020, 8, 29)]",[0.016678930586215356]
504,"('case', 'new', 'total')","[datetime.date(2020, 8, 29)]",[0.020603384841795438]
505,"('death', 'new', 'report')","[datetime.date(2020, 8, 29)]",[0.015207260240372823]
506,"('death', 'new', 'total')","[datetime.date(2020, 8, 29)]",[0.015697817022320332]
507,"('abl', 'amp', 'count')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
508,"('abl', 'amp', 'earlyvot')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
509,"('abl', 'amp', 'eod')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
510,"('abl', 'amp', 'g')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
511,"('abl', 'amp', 'get')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
512,"('abl', 'amp', 'nov')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
513,"('abl', 'amp', 'person')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
514,"('abl', 'amp', 'will')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
515,"('abl', 'count', 'earlyvot')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
516,"('abl', 'count', 'eod')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
517,"('abl', 'count', 'g')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
518,"('abl', 'count', 'get')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
519,"('abl', 'count', 'nov')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
520,"('abl', 'count', 'person')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
521,"('abl', 'count', 'will')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
522,"('abl', 'earlyvot', 'eod')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
523,"('abl', 'earlyvot', 'g')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
524,"('abl', 'earlyvot', 'get')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
525,"('abl', 'earlyvot', 'nov')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
526,"('abl', 'earlyvot', 'person')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
527,"('abl', 'earlyvot', 'will')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
528,"('abl', 'eod', 'g')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
529,"('abl', 'eod', 'get')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
530,"('abl', 'eod', 'nov')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
531,"('abl', 'eod', 'person')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
532,"('abl', 'eod', 'will')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
533,"('abl', 'g', 'get')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
534,"('abl', 'g', 'nov')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
535,"('abl', 'g', 'person')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
536,"('abl', 'g', 'will')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
537,"('abl', 'get', 'nov')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
538,"('abl', 'get', 'person')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
539,"('abl', 'get', 'will')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
540,"('abl', 'nov', 'person')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
541,"('abl', 'nov', 'will')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
542,"('abl', 'person', 'will')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
543,"('amp', 'count', 'earlyvot')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
544,"('amp', 'count', 'eod')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
545,"('amp', 'count', 'g')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
546,"('amp', 'count', 'get')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
547,"('amp', 'count', 'nov')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
548,"('amp', 'count', 'person')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
549,"('amp', 'count', 'will')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
550,"('amp', 'earlyvot', 'eod')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
551,"('amp', 'earlyvot', 'g')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
552,"('amp', 'earlyvot', 'get')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
553,"('amp', 'earlyvot', 'nov')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
554,"('amp', 'earlyvot', 'person')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
555,"('amp', 'earlyvot', 'will')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
556,"('amp', 'eod', 'g')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
557,"('amp', 'eod', 'get')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
558,"('amp', 'eod', 'nov')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
559,"('amp', 'eod', 'person')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
560,"('amp', 'eod', 'will')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
561,"('amp', 'g', 'get')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
562,"('amp', 'g', 'nov')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
563,"('amp', 'g', 'person')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
564,"('amp', 'g', 'will')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
565,"('amp', 'get', 'nov')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
566,"('amp', 'get', 'person')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
567,"('amp', 'get', 'will')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
568,"('amp', 'nov', 'person')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
569,"('amp', 'nov', 'will')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
570,"('amp', 'person', 'will')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
571,"('count', 'earlyvot', 'eod')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
572,"('count', 'earlyvot', 'g')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
573,"('count', 'earlyvot', 'get')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
574,"('count', 'earlyvot', 'nov')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
575,"('count', 'earlyvot', 'person')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
576,"('count', 'earlyvot', 'will')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
577,"('count', 'eod', 'g')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
578,"('count', 'eod', 'get')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
579,"('count', 'eod', 'nov')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
580,"('count', 'eod', 'person')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
581,"('count', 'eod', 'will')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
582,"('count', 'g', 'get')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
583,"('count', 'g', 'nov')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
584,"('count', 'g', 'person')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
585,"('count', 'g', 'will')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
586,"('count', 'get', 'nov')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
587,"('count', 'get', 'person')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
588,"('count', 'get', 'will')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
589,"('count', 'nov', 'person')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
590,"('count', 'nov', 'will')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
591,"('count', 'person', 'will')","[datetime.date(2020, 8, 29)]",[0.020112828059847928]
592,"('earlyvot', 'eod', 'g')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
593,"('earlyvot', 'eod', 'get')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
594,"('earlyvot', 'eod', 'nov')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
595,"('earlyvot', 'eod', 'person')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
596,"('earlyvot', 'eod', 'will')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
597,"('earlyvot', 'g', 'get')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
598,"('earlyvot', 'g', 'nov')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
599,"('earlyvot', 'g', 'person')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
600,"('earlyvot', 'g', 'will')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
601,"('earlyvot', 'get', 'nov')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
602,"('earlyvot', 'get', 'person')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
603,"('earlyvot', 'get', 'will')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
604,"('earlyvot', 'nov', 'person')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
605,"('earlyvot', 'nov', 'will')","[datetime.date(2020, 8, 29)]",[0.01913171449595291]
606,"('earlyvot', 'person', 'will')","[datetime.date(2020, 8, 29)]",[0.020358106450821683]
607,"('eod', 'g', 'get')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
608,"('eod', 'g', 'nov')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
609,"('eod', 'g', 'person')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
610,"('eod', 'g', 'will')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
611,"('eod', 'get', 'nov')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
612,"('eod', 'get', 'person')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
613,"('eod', 'get', 'will')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
614,"('eod', 'nov', 'person')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
615,"('eod', 'nov', 'will')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
616,"('eod', 'person', 'will')","[datetime.date(2020, 8, 29)]",[0.018641157714005395]
617,"('g', 'get', 'nov')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
618,"('g', 'get', 'person')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
619,"('g', 'get', 'will')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
620,"('g', 'nov', 'person')","[datetime.date(2020, 8, 29)]",[0.01839587932303164]
